User,CARD INDEX,Card Brand,Card Type,Card Number,Expires,CVV,Has Chip,Cards Issued,Credit Limit,Acct Open Date,Year PIN last Changed,Card on Dark Web
333,1,Visa,Debit,4045887901142827,07/2013,54,YES,2,333,02/2010,2010,No
333,2,Mastercard,Debit,5711629583407537,01/2012,577,YES,2,333,08/2005,2010,No
333,3,Mastercard,Debit,5047582065725201,07/2021,601,YES,2,333,10/2010,2012,No
333,4,Discover,Credit,6973723422438311,11/2023,526,NO,2,333,03/2007,2010,No
333,5,Mastercard,Debit,5584580666180389,12/2006,331,YES,1,333,03/2005,2011,No
334,0,Visa,Credit,4605636273246106,05/2022,245,YES,2,334,01/2020,2020,No
335,0,Mastercard,Debit,5927769013167971,12/2006,774,YES,2,335,07/2006,2008,No
336,0,Mastercard,Debit (Prepaid),5803470646010241,01/2020,940,YES,1,336,01/2020,2020,No
336,1,Mastercard,Debit,5796139864739324,05/2018,474,YES,2,336,11/2011,2011,No
337,0,Mastercard,Debit,5875716871084903,01/2020,798,YES,2,337,01/2020,2020,No
337,1,Visa,Credit,4351530526237151,02/2020,164,YES,1,337,01/2020,2020,No
338,0,Mastercard,Debit,5084690936737005,02/2020,476,YES,2,338,02/2009,2012,No
338,1,Visa,Debit,4372448627686768,11/2020,569,YES,2,338,03/2008,2008,No
338,2,Visa,Debit,4183588454885685,11/2020,323,NO,2,338,04/2003,2011,No
339,0,Mastercard,Debit,5826930335951624,06/2023,803,YES,1,339,01/2020,2020,No
339,1,Mastercard,Debit,5040609131348655,12/2023,98,YES,1,339,02/2020,2020,No
340,0,Mastercard,Debit,5335622486722965,10/2023,617,YES,2,340,01/2020,2020,No
341,0,Amex,Credit,302128691810206,11/2021,236,YES,1,341,07/2010,2015,No
341,1,Mastercard,Debit,5947766191531250,10/2024,760,YES,2,341,05/2003,2013,No
341,2,Visa,Credit,4371359117883353,05/2022,931,YES,2,341,10/2012,2012,No
341,3,Mastercard,Debit (Prepaid),5517746118509993,01/2017,251,YES,1,341,02/2007,2008,No
342,0,Mastercard,Debit,5050180938587173,07/2021,518,YES,1,342,02/2020,2020,No
343,0,Mastercard,Debit,5228295335343438,03/2011,82,NO,1,343,02/2010,2010,No
343,1,Visa,Credit,4963325399756427,06/2022,180,YES,2,343,10/2005,2010,No
343,2,Visa,Debit,4540572558695839,08/2020,540,YES,2,343,08/1996,2012,No
344,0,Visa,Credit,4662965490409087,04/2023,240,YES,2,344,02/2007,2007,No
344,1,Visa,Debit,4170396856656251,03/2020,831,YES,2,344,03/2007,2008,No
344,2,Mastercard,Debit,5568405807581710,07/2022,187,YES,3,344,12/1999,2011,No
344,3,Mastercard,Debit,5304746158026153,08/2013,249,YES,1,344,08/2010,2010,No
345,0,Mastercard,Debit,5761678069979338,02/2020,725,YES,1,345,12/2009,2009,No
345,1,Mastercard,Debit (Prepaid),5828021478542645,01/2016,350,YES,1,345,03/2009,2009,No
345,2,Visa,Debit,4247339520232396,07/2022,598,YES,1,345,05/2012,2012,No
346,0,Mastercard,Debit,5472231620359227,01/2016,726,YES,1,346,08/2006,2013,No
347,0,Visa,Debit,4182923459647403,02/2020,603,YES,1,347,02/2020,2020,No
347,1,Visa,Debit,4866080343433203,05/2010,1,YES,2,347,01/2010,2010,No
347,2,Mastercard,Credit,5328878941102916,03/2016,847,YES,2,347,01/2009,2010,No
348,0,Mastercard,Debit,5785225381364914,04/2022,851,YES,1,348,08/2018,2018,No
348,1,Mastercard,Credit,5056180854217534,10/2021,183,YES,1,348,10/2007,2013,No
348,2,Mastercard,Debit,5192100992523222,03/2023,276,YES,2,348,02/2002,2015,No
348,3,Discover,Credit,6099048775831285,04/2022,120,YES,1,348,12/2009,2010,No
348,4,Mastercard,Credit,5730775331108605,04/2024,910,YES,1,348,03/1998,2016,No
349,0,Discover,Credit,6670752769501820,04/2014,213,NO,2,349,01/2009,2010,No
349,1,Visa,Credit,4016664416211109,05/2024,840,YES,1,349,06/2010,2010,No
349,2,Mastercard,Debit,5835488238900107,11/2020,203,NO,1,349,03/2019,2019,No
349,3,Mastercard,Debit,5942817121899547,08/2022,408,YES,1,349,01/2020,2020,No
350,0,Visa,Debit,4483206793672492,06/2024,339,YES,2,350,04/2011,2011,No
350,1,Visa,Debit,4030476430498489,07/2013,437,YES,2,350,01/2010,2011,No
350,2,Visa,Credit,4952050120824102,05/2023,167,YES,2,350,11/2007,2007,No
350,3,Visa,Debit (Prepaid),4985729409791181,07/2011,408,YES,2,350,12/2010,2011,No
351,0,Mastercard,Debit (Prepaid),5352787929411472,01/2024,196,NO,2,351,01/2020,2020,No
351,1,Mastercard,Debit,5764720476661124,08/2023,350,NO,1,351,02/2020,2020,No
351,2,Mastercard,Credit,5649118777959741,05/2022,123,YES,1,351,01/2020,2020,No
351,3,Discover,Credit,6905561508213690,11/2024,902,YES,1,351,02/2020,2020,No
352,0,Mastercard,Debit,5167739038207671,02/2020,35,YES,1,352,06/2008,2008,No
352,1,Mastercard,Debit (Prepaid),5483130582779116,05/2020,139,YES,2,352,08/2012,2012,No
352,2,Visa,Debit (Prepaid),4031459906447373,04/2018,0,YES,1,352,06/2012,2012,No
352,3,Mastercard,Debit,5608799929769385,01/2024,653,YES,2,352,05/2016,2016,No
353,0,Visa,Debit,4751759256983279,12/2023,978,YES,2,353,05/2004,2013,No
353,1,Mastercard,Debit,5827922070073569,08/2020,665,YES,1,353,11/2008,2008,No
354,0,Visa,Debit,4964837149375457,08/2023,692,NO,2,354,07/2007,2008,No
354,1,Visa,Debit,4786456074959153,04/2024,463,YES,1,354,04/2019,2019,No
354,2,Visa,Debit,4780113572248864,10/2022,498,YES,1,354,01/2009,2009,No
355,0,Visa,Debit,4732187570005938,11/2023,875,YES,1,355,01/2020,2020,No
355,1,Mastercard,Debit,5579968242146941,03/2021,908,YES,1,355,02/2020,2020,No
356,0,Amex,Credit,364782097416183,09/2024,787,YES,2,356,01/2020,2020,No
356,1,Visa,Debit,4332848097947146,05/2019,247,YES,2,356,10/2010,2012,No
356,2,Visa,Debit,4874200877830198,04/2023,234,YES,2,356,04/2008,2015,No
356,3,Mastercard,Debit (Prepaid),5491911967251854,04/2024,256,YES,2,356,01/2009,2013,No
357,0,Visa,Debit,4123430883366053,06/2022,929,NO,2,357,01/2020,2020,No
357,1,Visa,Debit (Prepaid),4477381812397470,02/2020,256,YES,2,357,02/2020,2020,No
358,0,Visa,Debit (Prepaid),4291584295091276,07/2021,284,NO,2,358,09/2008,2013,No
358,1,Visa,Credit,4977439177902709,10/2023,725,YES,1,358,05/2014,2014,No
358,2,Visa,Debit,4083830555953344,09/2019,35,YES,1,358,08/2012,2012,No
359,0,Mastercard,Debit,5000642222050149,01/2016,949,YES,1,359,10/2011,2014,No
359,1,Mastercard,Debit,5706945213874118,02/2009,808,YES,1,359,03/1999,2013,No
359,2,Visa,Credit,4880127142903322,05/2024,582,NO,2,359,06/2018,2018,No
360,0,Mastercard,Debit,5709350938591097,09/2021,841,YES,2,360,12/2007,2016,No
360,1,Amex,Credit,340249970172495,07/2024,789,YES,1,360,12/2017,2017,No
361,0,Visa,Debit,4969931231497491,11/2019,728,YES,2,361,01/2004,2012,No
361,1,Mastercard,Debit,5065991934613613,03/2020,444,YES,2,361,04/1999,2013,No
361,2,Mastercard,Debit,5074153322431986,10/1999,15,YES,1,361,11/1998,2008,No
362,0,Discover,Credit,6343000201050378,06/2020,991,YES,1,362,06/2005,2013,No
362,1,Mastercard,Debit,5176991873510835,04/2022,744,YES,2,362,08/2005,2015,No
363,0,Mastercard,Debit,5193598337004774,08/2020,655,YES,1,363,01/2020,2020,No
363,1,Visa,Debit (Prepaid),4651166179945088,07/2024,135,YES,1,363,01/2020,2020,No
363,2,Mastercard,Debit,5169330864187609,10/2020,927,YES,1,363,02/2020,2020,No
363,3,Discover,Credit,6575727919683836,03/2022,371,YES,1,363,01/2020,2020,No
363,4,Visa,Credit,4254671354232317,06/2022,566,YES,2,363,02/2020,2020,No
364,0,Mastercard,Debit,5639231472661421,06/2006,482,YES,1,364,06/2006,2007,No
365,0,Mastercard,Debit,5974521557482725,08/2020,89,YES,1,365,09/2011,2011,No
365,1,Amex,Credit,373196972571995,08/2022,333,YES,1,365,12/2003,2009,No
365,2,Mastercard,Debit,5145075395048643,07/2020,818,YES,2,365,06/2007,2007,No
365,3,Mastercard,Debit,5446247483875549,02/2022,977,NO,2,365,04/2005,2020,No
365,4,Mastercard,Debit,5138861544730253,09/2014,695,YES,2,365,10/2008,2013,No
365,5,Mastercard,Debit,5450840398353044,05/2024,172,YES,2,365,11/2006,2013,No
365,6,Mastercard,Debit,5957840395918291,01/2024,232,YES,2,365,12/2004,2011,No
366,0,Mastercard,Debit,5200497031723077,11/2021,790,YES,1,366,02/2018,2018,No
366,1,Visa,Debit,4410595521974956,08/2020,468,YES,1,366,05/2017,2017,No
366,2,Mastercard,Debit,5979251671199858,01/2020,949,YES,1,366,01/2020,2020,No
367,0,Visa,Debit,4977782671344118,01/2009,467,NO,2,367,05/2006,2020,No
367,1,Mastercard,Debit (Prepaid),5953262218021154,04/2014,328,YES,1,367,08/2008,2013,No
367,2,Visa,Credit,4453479289853591,01/2020,438,YES,2,367,06/2016,2016,No
367,3,Visa,Credit,4484651040009268,04/2023,400,YES,2,367,02/2010,2010,No
368,0,Amex,Credit,397408628397205,01/2024,358,YES,1,368,08/2005,2008,No
368,1,Mastercard,Debit,5131315390682577,04/2011,260,YES,2,368,08/2005,2010,No
368,2,Visa,Debit,4667539931017684,10/2020,724,YES,2,368,06/2007,2015,No
368,3,Mastercard,Debit,5494695767588585,12/2023,105,YES,1,368,02/2008,2010,No
368,4,Discover,Credit,6059981259285361,08/2024,661,YES,1,368,05/2017,2017,No
369,0,Mastercard,Debit,5070126203216170,01/2020,795,YES,2,369,01/2020,2020,No
369,1,Mastercard,Debit,5293367010895796,02/2020,489,YES,1,369,02/2020,2020,No
370,0,Mastercard,Debit,5695371675609176,12/2023,110,YES,1,370,10/2001,2010,No
370,1,Mastercard,Debit (Prepaid),5727246621737801,09/2014,184,YES,1,370,07/2003,2010,No
371,0,Visa,Credit,4613780379002622,10/2021,881,YES,1,371,08/2010,2012,No
371,1,Visa,Credit,4349828024185765,11/2020,209,YES,1,371,12/2011,2011,No
371,2,Visa,Debit,4831547258942108,11/2021,45,NO,1,371,08/2005,2012,No
371,3,Visa,Credit,4030101439693866,12/2022,924,NO,2,371,11/2013,2013,No
372,0,Mastercard,Debit,5598838646522278,05/2022,590,YES,1,372,04/2005,2020,No
373,0,Mastercard,Credit,5688444191664896,06/2023,723,YES,1,373,05/2010,2011,No
373,1,Mastercard,Debit,5787876223130828,03/2024,137,YES,1,373,07/2009,2009,No
373,2,Mastercard,Debit,5145746225869385,02/2014,37,NO,2,373,07/2010,2010,No
373,3,Mastercard,Debit,5867870962214065,02/2020,278,YES,1,373,02/2020,2020,No
373,4,Mastercard,Debit (Prepaid),5233021736945266,01/2014,561,YES,2,373,07/2009,2013,No
374,0,Mastercard,Debit,5905144281673763,02/2020,324,YES,1,374,03/2014,2014,No
374,1,Mastercard,Debit (Prepaid),5376202172646612,11/2022,419,YES,1,374,09/2013,2013,No
374,2,Visa,Debit,4078070579143813,05/2022,725,YES,1,374,08/2010,2010,No
374,3,Mastercard,Debit,5320540849135700,10/2023,66,YES,1,374,02/2009,2009,No
374,4,Mastercard,Debit,5318581534984744,12/2021,914,NO,2,374,01/2020,2020,No
375,0,Visa,Credit,4905977959597106,10/2020,543,YES,1,375,04/2018,2018,No
376,0,Mastercard,Debit,5285784915006143,03/2020,790,YES,2,376,05/1996,2012,No
377,0,Visa,Debit,4563146572171391,12/2020,510,YES,2,377,04/2014,2014,No
377,1,Visa,Debit,4817273521248161,10/2023,706,YES,2,377,01/2000,2006,No
377,2,Visa,Debit,4423423702094848,11/2020,362,YES,1,377,09/2010,2010,No
377,3,Mastercard,Debit,5614281662886512,12/2024,906,YES,2,377,04/2015,2015,No
378,0,Mastercard,Credit,5723992473008285,02/2020,298,YES,1,378,01/2020,2020,No
378,1,Mastercard,Credit,5568613598314709,06/2022,926,YES,1,378,01/2020,2020,No
379,0,Mastercard,Debit,5809559236815243,01/2020,643,YES,1,379,01/2020,2020,No
379,1,Discover,Credit,6649382937549507,02/2020,898,YES,1,379,02/2020,2020,No
380,0,Mastercard,Debit,5578581367019951,03/2020,532,YES,1,380,02/2020,2020,No
380,1,Visa,Credit,4995777639723026,06/2024,153,NO,2,380,01/2020,2020,No
380,2,Mastercard,Credit,5618927130201354,04/2020,47,YES,1,380,01/2020,2020,No
381,0,Mastercard,Debit,5504388217788243,09/2022,389,YES,1,381,12/2003,2008,No
381,1,Mastercard,Credit,5765192294312489,03/2024,244,YES,2,381,06/2014,2014,No
381,2,Mastercard,Debit,5049590350537184,12/2017,287,YES,1,381,09/2017,2017,No
381,3,Mastercard,Credit,5171047603573611,05/2020,472,YES,1,381,02/2020,2020,No
382,0,Visa,Credit,4304336989685853,10/2022,38,YES,1,382,02/2011,2011,No
383,0,Mastercard,Debit (Prepaid),5802808293999580,02/2023,374,NO,1,383,02/2020,2020,No
383,1,Mastercard,Credit,5182039113510183,12/2024,533,YES,1,383,01/2020,2020,No
384,0,Mastercard,Debit,5178588521108553,04/2021,647,YES,2,384,04/2010,2010,No
384,1,Mastercard,Debit (Prepaid),5419683819223054,07/2021,690,YES,2,384,05/2011,2011,No
385,0,Mastercard,Debit (Prepaid),5207548471157063,04/2022,310,YES,2,385,10/2008,2012,No
385,1,Discover,Credit,6133343341617022,12/2010,252,NO,2,385,06/2009,2011,No
385,2,Visa,Credit,4013077897978419,10/2013,359,YES,1,385,11/2009,2014,No
385,3,Mastercard,Debit (Prepaid),5582481832840083,10/2004,949,YES,2,385,02/2001,2012,No
385,4,Mastercard,Debit,5160679758487908,04/2015,716,YES,2,385,12/2010,2011,No
385,5,Mastercard,Credit,5350725222706426,04/2021,29,YES,2,385,09/2003,2008,No
386,0,Mastercard,Debit,5208287929207582,01/2022,668,YES,2,386,02/2020,2020,No
386,1,Amex,Credit,382500319012149,12/2022,443,YES,2,386,02/2020,2020,No
386,2,Mastercard,Debit,5568206290590571,06/2023,658,YES,1,386,02/2020,2020,No
386,3,Mastercard,Credit,5316978994490034,10/2020,145,YES,1,386,02/2020,2020,No
386,4,Mastercard,Debit,5548416164877894,02/2020,573,YES,1,386,02/2020,2020,No
386,5,Mastercard,Debit,5319381223326693,02/2020,205,YES,2,386,01/2020,2020,No
387,0,Mastercard,Debit,5124149352966224,07/2022,255,YES,2,387,03/2016,2016,No
388,0,Visa,Debit (Prepaid),4140588094739369,02/2020,914,YES,2,388,02/2020,2020,No
389,0,Visa,Credit,4098957147259107,01/2024,427,YES,1,389,01/2020,2020,No
389,1,Visa,Debit,4728985692143254,05/2021,894,YES,2,389,02/2020,2020,No
390,0,Visa,Credit,4914230230023485,11/2020,149,YES,2,390,02/2005,2013,No
390,1,Mastercard,Debit,5503346026525353,07/2021,281,YES,2,390,12/2006,2016,No
390,2,Mastercard,Credit,5625623929407723,02/2024,413,NO,2,390,05/2008,2011,No
390,3,Amex,Credit,340690023329145,05/2007,921,YES,1,390,01/2007,2009,No
390,4,Mastercard,Debit,5836255998556368,01/2023,124,YES,2,390,05/2002,2018,No
391,0,Mastercard,Debit,5144019472845640,03/2024,991,YES,1,391,08/2013,2013,No
391,1,Mastercard,Debit,5401708824823369,09/2024,387,YES,1,391,07/2008,2008,No
391,2,Mastercard,Debit,5090437031916520,06/2022,678,NO,2,391,02/2020,2020,No
392,0,Mastercard,Debit,5427512329623870,11/2020,476,YES,2,392,10/2008,2016,No
392,1,Visa,Debit,4270727314191306,09/2024,431,YES,2,392,09/2005,2012,No
393,0,Visa,Debit,4609363841131495,01/2020,250,YES,1,393,01/2020,2020,No
393,1,Visa,Debit,4092359255548687,07/2018,548,YES,1,393,05/2014,2014,No
393,2,Mastercard,Debit (Prepaid),5739755420014539,01/2023,543,YES,2,393,02/2020,2020,No
393,3,Mastercard,Debit,5884169220100958,02/2009,380,YES,1,393,08/2007,2010,No
393,4,Visa,Debit,4739129887814779,12/2024,840,YES,1,393,02/2020,2020,No
393,5,Amex,Credit,340363396133555,10/2024,357,YES,1,393,07/2005,2014,No
393,6,Mastercard,Debit,5134663281531806,04/2022,682,YES,1,393,02/1999,2012,No
394,0,Mastercard,Credit,5428449359468275,05/2024,692,YES,1,394,02/2020,2020,No
394,1,Mastercard,Debit (Prepaid),5166680396292023,11/2024,462,YES,1,394,01/2020,2020,No
394,2,Mastercard,Debit (Prepaid),5582430794372147,09/2024,397,YES,2,394,01/2020,2020,No
395,0,Visa,Debit,4011659941572561,01/2023,523,YES,1,395,08/2019,2019,No
395,1,Visa,Credit,4281818687372228,11/2020,956,YES,1,395,06/2005,2011,No
395,2,Mastercard,Debit,5537300534138484,07/2023,933,YES,2,395,12/2004,2013,No
395,3,Mastercard,Debit,5770348525427389,08/2020,914,NO,1,395,11/2010,2015,No
396,0,Mastercard,Debit,5089550241614493,02/2020,625,YES,2,396,01/2020,2020,No
396,1,Amex,Credit,357731604070533,05/2020,270,YES,1,396,10/1999,2012,No
396,2,Visa,Credit,4760959420776144,05/2021,81,YES,2,396,06/2015,2015,No
397,0,Visa,Debit,4559380028737071,01/2023,791,YES,1,397,02/2020,2020,No
398,0,Mastercard,Debit (Prepaid),5978230791001469,08/2017,310,YES,1,398,03/2002,2008,No
398,1,Visa,Credit,4609960492769091,03/2023,512,YES,2,398,05/2007,2013,No
398,2,Amex,Credit,371780853319378,06/2021,461,YES,2,398,04/2010,2010,No
398,3,Visa,Debit,4717280495507382,03/2012,268,YES,1,398,06/2006,2010,No
399,0,Mastercard,Debit,5630819721997639,03/2021,160,YES,2,399,06/2009,2015,No
399,1,Visa,Debit,4536093921633369,12/2023,783,YES,2,399,03/2010,2013,No
399,2,Mastercard,Debit,5403878573257240,06/2024,553,YES,2,399,09/2009,2015,No
400,0,Visa,Debit,4752300617048436,09/2021,511,YES,2,400,02/2020,2020,No
401,0,Mastercard,Debit,5298405785595862,06/2022,451,YES,1,401,01/2020,2020,No
402,0,Mastercard,Debit,5969880085380237,03/2024,832,YES,1,402,01/2018,2018,No
402,1,Visa,Debit,4719376429761062,05/2021,716,YES,1,402,10/2008,2008,No
403,0,Visa,Debit,4465904146461429,12/2007,172,YES,2,403,12/2007,2011,No
403,1,Mastercard,Debit (Prepaid),5998020597750681,01/2020,259,YES,2,403,01/2020,2020,No
403,2,Mastercard,Debit,5753826788441344,10/2017,195,YES,2,403,03/2006,2012,No
404,0,Mastercard,Debit,5845664736410406,09/2024,157,YES,1,404,01/2020,2020,No
404,1,Mastercard,Debit,5815197990139669,05/2024,528,YES,2,404,06/2014,2014,No
404,2,Discover,Credit,6863075164690679,11/2020,357,YES,2,404,05/2010,2010,No
404,3,Mastercard,Credit,5190363040476849,08/2022,377,YES,2,404,02/2012,2012,No
405,0,Visa,Debit,4435091514671785,10/2013,429,YES,1,405,02/1997,2014,No
405,1,Visa,Credit,4610283928454577,03/2020,340,YES,2,405,08/2013,2013,No
405,2,Mastercard,Debit,5402165032954536,11/2009,383,YES,1,405,11/2004,2008,No
406,0,Mastercard,Debit,5604853881293164,02/2020,942,YES,2,406,05/2010,2010,No
406,1,Mastercard,Debit,5304174233835471,10/2022,603,YES,2,406,08/2006,2015,No
406,2,Mastercard,Debit,5018201035940907,02/2014,623,YES,1,406,11/2006,2009,No
406,3,Visa,Debit,4364504555846512,03/2024,787,YES,2,406,07/2010,2010,No
407,0,Mastercard,Debit,5820532728475057,07/2021,136,YES,1,407,01/2020,2020,No
407,1,Mastercard,Debit,5693890310196695,09/2024,794,YES,1,407,10/2019,2019,No
407,2,Amex,Credit,329884815703027,05/2022,818,YES,2,407,02/2020,2020,No
408,0,Mastercard,Debit,5495606147026040,06/2024,810,YES,2,408,02/2013,2013,No
408,1,Discover,Credit,6439934247827371,03/2012,549,NO,1,408,03/2007,2007,No
408,2,Mastercard,Credit,5903180777410762,02/2020,618,YES,1,408,03/2019,2019,No
408,3,Visa,Debit (Prepaid),4982837709455785,09/2022,119,YES,2,408,12/2009,2009,No
409,0,Visa,Debit,4254478565698366,02/2020,642,YES,2,409,02/2020,2020,No
410,0,Mastercard,Debit,5366108681709753,06/2022,691,YES,1,410,02/2020,2020,No
410,1,Mastercard,Debit,5559631785400356,07/2024,138,YES,2,410,07/2011,2011,No
410,2,Mastercard,Debit,5868987765320423,01/2024,849,YES,2,410,06/2011,2011,No
411,0,Mastercard,Debit,5921343520642553,12/2013,630,YES,2,411,11/2005,2005,No
411,1,Mastercard,Debit,5576058870888177,08/2023,200,YES,2,411,11/2009,2014,No
412,0,Visa,Debit,4436697575956445,06/2015,894,YES,1,412,10/2010,2010,No
412,1,Mastercard,Debit,5217920627763477,02/2020,902,YES,1,412,01/2020,2020,No
413,0,Mastercard,Credit,5503548049749435,02/2021,850,NO,1,413,11/2016,2016,No
413,1,Visa,Credit,4669390579436584,03/2020,661,YES,2,413,04/2002,2011,No
413,2,Mastercard,Debit (Prepaid),5241112690809802,09/2022,740,YES,1,413,04/2003,2010,No
413,3,Mastercard,Debit,5622935637285354,05/2024,799,YES,1,413,09/1998,2009,No
414,0,Mastercard,Debit,5700169734076825,05/2011,638,YES,1,414,03/2006,2008,No
414,1,Visa,Debit (Prepaid),4323953877431034,05/2023,830,YES,3,414,06/2018,2018,No
414,2,Mastercard,Debit,5107151477861238,06/2021,365,YES,1,414,01/2010,2010,No
414,3,Visa,Debit,4753063175082230,02/2020,352,YES,2,414,11/2009,2009,No
415,0,Mastercard,Debit,5604896104987546,07/2022,330,YES,1,415,02/2020,2020,No
416,0,Visa,Credit,4096689962299789,08/2022,25,YES,1,416,12/2005,2011,No
416,1,Amex,Credit,349159635383087,01/2023,386,YES,2,416,02/2019,2019,No
416,2,Visa,Credit,4538277638033307,10/2024,387,YES,1,416,01/2020,2020,No
416,3,Mastercard,Debit,5738438340474113,03/2020,798,YES,1,416,05/2008,2010,No
417,0,Mastercard,Debit,5361639254366090,02/2002,26,YES,1,417,02/2002,2010,No
417,1,Visa,Debit,4815373260593647,04/2018,733,YES,2,417,09/2013,2013,No
417,2,Mastercard,Debit,5363716613146250,12/2008,937,YES,1,417,10/2007,2011,No
417,3,Visa,Credit,4234252140022115,09/2021,115,YES,1,417,04/1994,2010,No
417,4,Visa,Debit (Prepaid),4541177168542351,02/2021,768,NO,1,417,06/2005,2014,No
417,5,Mastercard,Debit,5079032910713562,12/2022,402,YES,2,417,05/2004,2013,No
417,6,Visa,Credit,4494411189246879,01/2023,670,YES,1,417,06/2003,2010,No
418,0,Mastercard,Debit,5907512722234563,01/2014,855,YES,2,418,01/2008,2009,No
419,0,Mastercard,Debit (Prepaid),5710956185196347,02/2020,91,YES,2,419,01/2020,2020,No
419,1,Mastercard,Debit,5969614895288925,02/2020,729,YES,1,419,02/2020,2020,No
419,2,Mastercard,Debit,5183544081050284,05/2022,754,YES,1,419,02/2020,2020,No
420,0,Mastercard,Debit,5274657041301974,04/2020,436,YES,2,420,10/2004,2010,No
420,1,Amex,Credit,337116884587546,09/2018,164,NO,2,420,04/2013,2013,No
420,2,Amex,Credit,339154209082656,09/2010,909,YES,1,420,04/2010,2010,No
421,0,Mastercard,Debit,5489847637452263,05/2022,32,YES,2,421,10/2013,2013,No
421,1,Visa,Debit,4312743637718042,11/2019,556,YES,2,421,06/2019,2019,No
421,2,Mastercard,Debit,5312379293764300,06/2022,244,NO,2,421,12/2010,2010,No
421,3,Visa,Credit,4678372291668326,07/2020,966,YES,1,421,09/2006,2011,No
422,0,Amex,Credit,380507615759333,07/2021,194,YES,1,422,01/2020,2020,No
422,1,Mastercard,Debit,5643186470669851,09/2022,12,YES,2,422,02/2020,2020,No
423,0,Mastercard,Debit,5498308482575223,03/2021,952,YES,1,423,04/2014,2014,No
423,1,Mastercard,Debit,5252283992419484,04/2024,136,YES,1,423,10/2008,2010,No
423,2,Mastercard,Credit,5795691987889821,04/2011,416,YES,3,423,05/2008,2008,No
424,0,Visa,Debit,4980412921853275,04/2021,28,YES,2,424,01/2012,2012,No
424,1,Visa,Debit,4537266913886102,04/2022,787,YES,1,424,11/2003,2005,No
424,2,Mastercard,Debit,5817981997085182,08/2008,755,YES,2,424,02/2006,2006,No
424,3,Amex,Credit,353090863754405,03/2014,451,YES,1,424,06/2009,2018,No
424,4,Mastercard,Debit,5693655667464241,12/2023,500,YES,2,424,08/2007,2016,No
425,0,Mastercard,Debit,5919043204819594,02/2020,711,NO,2,425,06/2007,2007,No
425,1,Mastercard,Debit,5159330722218973,02/2022,857,YES,2,425,10/2008,2010,No
425,2,Mastercard,Debit,5609056029992567,02/2020,7,YES,1,425,09/2013,2013,No
425,3,Visa,Debit,4461414789391516,03/2021,277,YES,2,425,09/2019,2019,No
425,4,Mastercard,Debit,5955587375467605,07/2020,522,YES,2,425,05/2014,2014,No
425,5,Mastercard,Debit,5224140626818585,01/2017,329,YES,1,425,07/2014,2014,No
426,0,Mastercard,Debit (Prepaid),5691905533359944,10/2024,982,YES,1,426,12/2002,2009,No
427,0,Mastercard,Debit,5406659343798231,12/2022,868,YES,2,427,09/2008,2008,No
427,1,Mastercard,Debit,5268706720915465,07/2020,202,YES,1,427,05/2010,2010,No
427,2,Mastercard,Debit,5007147574833881,04/2022,560,YES,2,427,09/2008,2008,No
427,3,Visa,Debit,4345682874994564,02/2020,331,YES,1,427,03/2006,2009,No
428,0,Discover,Credit,6315959001873783,04/2021,118,YES,1,428,08/2014,2014,No
428,1,Mastercard,Credit,5887964726362356,07/2021,671,YES,1,428,04/2006,2009,No
428,2,Mastercard,Debit,5944670401278171,03/2021,806,YES,2,428,10/2009,2009,No
429,0,Mastercard,Credit,5744439609691204,01/2020,662,YES,1,429,01/2020,2020,No
429,1,Visa,Debit,4771002709933864,04/2024,374,YES,2,429,01/2020,2020,No
430,0,Discover,Credit,6396980306370671,10/2015,37,YES,1,430,04/2007,2012,No
430,1,Visa,Debit,4957823817777302,03/2022,413,YES,1,430,02/2008,2014,No
430,2,Visa,Credit,4021539917884489,08/2018,497,YES,1,430,06/2008,2010,No
430,3,Visa,Debit,4361392563969799,10/2023,417,YES,1,430,12/2012,2012,No
431,0,Mastercard,Debit (Prepaid),5387845577295005,02/2020,379,YES,1,431,01/2020,2020,No
431,1,Mastercard,Debit,5690579854372424,09/2020,790,YES,1,431,02/2020,2020,No
431,2,Visa,Debit,4102843004395648,07/2022,452,YES,2,431,02/2020,2020,No
431,3,Mastercard,Debit,5778432883626952,01/2020,217,NO,2,431,01/2020,2020,No
432,0,Visa,Credit,4335011442006835,07/2022,412,YES,1,432,11/2010,2012,No
432,1,Mastercard,Debit,5131116413550841,03/2024,615,YES,1,432,06/2008,2019,No
432,2,Amex,Credit,394151199374199,02/2020,175,YES,2,432,07/2014,2014,No
432,3,Visa,Debit,4684821008065663,04/2021,164,YES,1,432,06/2016,2016,No
433,0,Mastercard,Debit,5883802092372517,12/2014,346,YES,1,433,07/2006,2009,No
433,1,Visa,Credit,4495172888223801,12/2023,269,YES,2,433,06/2010,2011,No
433,2,Mastercard,Debit (Prepaid),5037187439217055,08/2021,955,NO,2,433,11/2009,2011,No
434,0,Amex,Credit,325863166103877,01/2020,936,YES,2,434,01/2020,2020,No
435,0,Mastercard,Debit,5219464488355605,09/2022,80,YES,2,435,01/2020,2020,No
436,0,Visa,Debit,4702266560105457,09/2022,749,YES,1,436,05/2010,2010,No
436,1,Mastercard,Debit,5215769270589143,01/2024,897,YES,2,436,07/2013,2013,No
436,2,Visa,Debit,4514228052643760,03/2024,763,NO,1,436,11/2013,2013,No
437,0,Visa,Debit (Prepaid),4316296167662583,04/2023,621,YES,2,437,02/2020,2020,No
